
SPDR S&P 500 ETF Trust,Last: 438.85,Change:  1.06
"Date: 18 de abril de 2022, 12:48 GMT-4",Bid: 438.84,Ask: 438.86,Size: 7*10,Volume: 5.546.562
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Apr 18 2022,SPY220418C00285000,0,0,153.72,153.98,0,4.9526,0.9999,0,0,285.00,SPY220418P00285000,0.02,0,0,0.01,0,4.7064,-0.0001,0,552
Mon Apr 18 2022,SPY220418C00290000,0,0,148.72,148.98,0,4.7649,0.9999,0,0,290.00,SPY220418P00290000,0.02,0,0,0.01,0,4.5272,-0.0001,0,685
Mon Apr 18 2022,SPY220418C00295000,145.82,0,143.72,143.98,0,4.1183,0.9999,0,2,295.00,SPY220418P00295000,0.01,0,0,0.01,0,4.3507,-0.0001,0,57
Mon Apr 18 2022,SPY220418C00300000,0,0,138.72,138.98,0,3.953,0.9999,0,0,300.00,SPY220418P00300000,0.01,0,0,0.01,0,4.177,-0.0001,0,537
Mon Apr 18 2022,SPY220418C00305000,0,0,133.72,133.98,0,3.7902,0.9999,0,0,305.00,SPY220418P00305000,0.03,0,0,0.01,0,4.0059,-0.0001,0,2430
Mon Apr 18 2022,SPY220418C00310000,0,0,128.72,128.98,0,3.6298,0.9998,0,0,310.00,SPY220418P00310000,0.02,0,0,0.01,0,3.8372,-0.0002,0,936
Mon Apr 18 2022,SPY220418C00315000,0,0,123.72,123.98,0,3.4717,0.9998,0,0,315.00,SPY220418P00315000,0.02,0,0,0.01,0,3.671,-0.0002,0,119
Mon Apr 18 2022,SPY220418C00320000,0,0,118.72,118.98,0,3.3158,0.9998,0,0,320.00,SPY220418P00320000,0.01,0,0,0.01,0,3.507,-0.0002,0,126
Mon Apr 18 2022,SPY220418C00325000,0,0,113.72,113.98,0,3.5275,0.9998,0,0,325.00,SPY220418P00325000,0.01,0,0,0.01,0,3.3452,-0.0002,0,572
Mon Apr 18 2022,SPY220418C00330000,114.4,0,108.72,108.98,0,3.3603,0.9997,0,0,330.00,SPY220418P00330000,0.01,0,0,0.01,0,3.1856,-0.0003,0,906
