
S&P 500 Mini-SPX Options Index,Last: 439.91,Change:  0.65
"Date: 18 de abril de 2022, 12:48 GMT-4",Bid: 0,Ask: 0,Size: 0*0,Volume: 0
Expiration Date,Calls,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest,Strike,Puts,Last Sale,Net,Bid,Ask,Volume,IV,Delta,Gamma,Open Interest
Mon Apr 18 2022,XSP220418C00285000,0,0,153.77,155.81,0,0,1,0,0,285.00,XSP220418P00285000,0,0,0,0.25,0,4.9128,0,0,0
Mon Apr 18 2022,XSP220418C00290000,0,0,148.77,150.8,0,0,1,0,0,290.00,XSP220418P00290000,0,0,0,0.25,0,4.7268,0,0,0
Mon Apr 18 2022,XSP220418C00295000,0,0,143.81,145.84,0,0,1,0,0,295.00,XSP220418P00295000,0,0,0,0.25,0,4.5437,0,0,0
Mon Apr 18 2022,XSP220418C00300000,0,0,138.72,140.81,0,0,1,0,0,300.00,XSP220418P00300000,0,0,0,0.25,0,4.3634,0,0,0
Mon Apr 18 2022,XSP220418C00305000,0,0,133.72,135.81,0,0,1,0,0,305.00,XSP220418P00305000,0,0,0,0.25,0,4.1858,0,0,0
Mon Apr 18 2022,XSP220418C00310000,0,0,128.82,130.96,0,0,1,0,0,310.00,XSP220418P00310000,0,0,0,0.25,0,4.0108,0,0,0
Mon Apr 18 2022,XSP220418C00315000,0,0,123.81,125.84,0,0,1,0,0,315.00,XSP220418P00315000,0,0,0,0.25,0,3.8383,0,0,0
Mon Apr 18 2022,XSP220418C00320000,0,0,118.8,120.84,0,0,1,0,0,320.00,XSP220418P00320000,0.01,0,0,0.25,0,3.6682,0,0,1
Mon Apr 18 2022,XSP220418C00325000,0,0,113.77,115.8,0,0,0.9999,0,0,325.00,XSP220418P00325000,0,0,0,0.25,0,3.5003,-0.0001,0,0
Mon Apr 18 2022,XSP220418C00330000,0,0,108.77,110.8,0,0,0.9999,0,0,330.00,XSP220418P00330000,0,0,0,0.25,0,3.3347,-0.0001,0,0
Mon Apr 18 2022,XSP220418C00335000,0,0,103.72,105.81,0,0,0.9999,0,0,335.00,XSP220418P00335000,0,0,0,0.25,0,3.1711,-0.0001,0,0
Mon Apr 18 2022,XSP220418C00340000,0,0,98.72,100.81,0,0,0.9999,0,0,340.00,XSP220418P00340000,0,0,0,0.25,0,3.0096,-0.0001,0,0
Mon Apr 18 2022,XSP220418C00345000,0,0,93.78,95.88,0,0,0.9999,0,0,345.00,XSP220418P00345000,0,0,0,0.25,0,2.85,-0.0001,0,0
Mon Apr 18 2022,XSP220418C00350000,0,0,88.77,90.81,0,0,0.9999,0,0,350.00,XSP220418P00350000,0.65,0,0,0.25,0,2.6922,-0.0001,0,4
Mon Apr 18 2022,XSP220418C00355000,0,0,83.82,85.96,0,0,0.9998,0,0,355.00,XSP220418P00355000,0.05,0,0,0.25,0,2.5362,-0.0001,0,6
Mon Apr 18 2022,XSP220418C00360000,0,0,78.72,80.81,0,0,0.9998,0,0,360.00,XSP220418P00360000,0.4,0,0,0.25,0,2.3819,-0.0002,0,5
Mon Apr 18 2022,XSP220418C00365000,0,0,73.77,75.8,0,0,0.9998,0,0,365.00,XSP220418P00365000,0,0,0,0.25,0,2.2291,-0.0002,0,0
Mon Apr 18 2022,XSP220418C00370000,0,0,68.82,70.96,0,0,0.9998,0,0,370.00,XSP220418P00370000,0.01,0,0,0.25,0,2.0779,-0.0002,0,1
Mon Apr 18 2022,XSP220418C00374000,0,0,64.78,66.88,0,0,0.9997,0,0,374.00,XSP220418P00374000,0.01,0,0,0.25,0,1.9579,-0.0003,0,7
Mon Apr 18 2022,XSP220418C00375000,0,0,63.72,65.81,0,0,0.9997,0,0,375.00,XSP220418P00375000,0.08,0,0,0.25,0,1.928,-0.0003,0,1
Mon Apr 18 2022,XSP220418C00376000,0,0,62.81,64.84,0,0,0.9997,0,0,376.00,XSP220418P00376000,0.01,0,0,0.25,0,1.8982,-0.0003,0,0
Mon Apr 18 2022,XSP220418C00377000,0,0,61.78,63.88,0,0,0.9997,0,0,377.00,XSP220418P00377000,0.05,0,0,0.25,0,1.8684,-0.0003,0,1
Mon Apr 18 2022,XSP220418C00378000,0,0,60.72,62.81,0,0,0.9997,0,0,378.00,XSP220418P00378000,0.01,0,0,0.25,0,1.8387,-0.0003,0,2
Mon Apr 18 2022,XSP220418C00379000,0,0,59.81,61.84,0,0,0.9997,0.0001,0,379.00,XSP220418P00379000,0.01,0,0,0.25,0,1.809,-0.0003,0.0001,21
Mon Apr 18 2022,XSP220418C00380000,76.31,0,58.77,60.8,0,0,0.9997,0.0001,2,380.00,XSP220418P00380000,0.01,0,0,0.25,0,1.7794,-0.0003,0.0001,11
